date,META_A,META_B,META_C,META_D,META_MEANBCD,META_BEST
2022-01-03,0.9994638642156862,0.9998840533333333,0.9999950980392157,0.9996660106862745,0.9998483873529411,0.9998868946078432
2022-01-04,1.0023451147239812,1.0003447880437397,1.0012616254581683,1.003505074424174,1.0017039953557247,1.0014542965218673
2022-01-05,1.0017419775288636,1.000687519407981,1.0015165152558805,1.0024573372072576,1.0015547762581731,1.0010720464241565
2022-01-06,1.0024853698575478,1.0006728034150485,1.0017017094058562,1.003032573271582,1.0018031731347243,1.001192596795863
2022-01-10,1.0008279110644254,1.0006728034150485,1.0007909194920328,1.001202922870737,1.000890409802015,1.0002090230293357
2022-01-11,1.0012414868125687,1.0011143691257494,1.0014766967521012,1.0010733496423878,1.001223067930109,1.0003904125046175
2022-01-12,1.0022264732420039,1.0011045542789934,1.002899444032238,1.002571689003187,1.0021934460964914,1.0015113985101871
2022-01-13,1.00262411180291,1.0011045542789934,1.0033145787219862,1.003199465582619,1.0025409068262645,1.001879270731466
2022-01-14,1.0047658880398955,1.0013727974961821,1.0051777804209272,1.0054836073672389,1.004011918619175,1.0033152599683735
2022-01-17,1.0103349546743046,1.0023985835661338,1.0088534425891764,1.0101116290785161,1.0071189640557023,1.0061168645803473
2022-01-18,1.0070714347906484,1.001482079337901,1.0058908633511092,1.009062888899161,1.0054776510568577,1.0046427176366728
2022-01-19,1.0057172490344215,1.0016019062759556,1.00470283829455,1.008434627152552,1.0049132305476502,1.0047909643904918
2022-01-20,1.0081920102713402,1.0018048969082536,1.006369795441219,1.0100971872507172,1.0060891380401316,1.0055295353978133
2022-01-21,1.0153130075342316,1.002405514989283,1.0123066441629909,1.0136135616430544,1.0094360717605388,1.0072517649818855
2022-01-24,1.0123130779182676,1.002566976081759,1.0107876883649822,1.0129522254998051,1.0087658499181316,1.0069744850622648
2022-01-25,1.0141973110379077,1.0022424138951016,1.0117966841844277,1.0136342752314742,1.009219063096455,1.0071732436605862
2022-01-26,1.0112619068345265,1.0033928536696,1.010634423314534,1.0132059396220015,1.0090766225115477,1.0077654850285676
2022-01-27,1.0100736638822336,1.0030657815375914,1.009949241612005,1.0124161304933108,1.0084767422881176,1.0076909426904512
2022-01-28,1.0088461411638834,1.0046271516679974,1.0100321122049085,1.0129146652383403,1.009193121453883,1.0090177230206672
2022-01-31,1.0101787878482995,1.0049525916709303,1.011587935963722,1.013654521247979,1.0100659841936472,1.0097631436677228
2022-02-01,1.010572674285329,1.0050265552949544,1.0117577564868228,1.0142747477293192,1.0103532961094948,1.0101642377247988
2022-02-02,1.0133378628803114,1.0050216286941933,1.0127375031206218,1.0166384245396847,1.0114626201475927,1.0109473124862403
2022-02-03,1.0117029004558076,1.0050216286941933,1.0119174532249406,1.015663352672848,1.0108662450612607,1.010516001032829
2022-02-04,1.0114555202512,1.0050216286941933,1.0120557068438178,1.0153053643998773,1.010793515910751,1.0105767968456973
2022-02-07,1.0088607222441546,1.0050216286941933,1.010954728648273,1.013173922500862,1.0097196575009215,1.0099097720708896
2022-02-08,1.0062145253749932,1.0050216286941933,1.0098098860487588,1.011071832951999,1.0086402019182463,1.0092747394200607
