strategy,timeframe,category,sl,tp,signal,trailing,max_hold,adx_breakout,sl_pct,tp_pct,signal_pct,trailing_pct,max_hold_pct,adx_breakout_pct
S1_MA_Reversion,daily,Contrarian,189,82,111,0,1,0,49.3,21.4,29.0,0.0,0.3,0.0
S1_MA_Reversion,hourly,Contrarian,2007,857,1019,0,0,0,51.7,22.1,26.2,0.0,0.0,0.0
S2_Bollinger,daily,Contrarian,15,13,3,0,0,0,48.4,41.9,9.7,0.0,0.0,0.0
S2_Bollinger,hourly,Contrarian,125,78,38,0,1,0,51.7,32.2,15.7,0.0,0.4,0.0
S3_RSI_Reversion,daily,Contrarian,1,1,0,0,2,0,25.0,25.0,0.0,0.0,50.0,0.0
S3_RSI_Reversion,hourly,Contrarian,68,44,3,0,1,0,58.6,37.9,2.6,0.0,0.9,0.0
S4_Donchian,daily,Trend,0,0,0,844,0,0,0.0,0.0,0.0,100.0,0.0,0.0
S4_Donchian,hourly,Trend,0,0,0,5050,0,0,0.0,0.0,0.0,100.0,0.0,0.0
S5_Supertrend,daily,Trend,0,0,0,409,0,0,0.0,0.0,0.0,100.0,0.0,0.0
S5_Supertrend,hourly,Trend,0,0,0,2440,0,0,0.0,0.0,0.0,100.0,0.0,0.0
S6_DualMA,daily,Trend,0,0,2,117,0,0,0.0,0.0,1.7,98.3,0.0,0.0
S6_DualMA,hourly,Trend,0,0,19,2801,0,0,0.0,0.0,0.7,99.3,0.0,0.0
S7_Keltner,daily,Range,12,11,1,0,1,0,48.0,44.0,4.0,0.0,4.0,0.0
S7_Keltner,hourly,Range,256,213,29,0,1,4,50.9,42.3,5.8,0.0,0.2,0.8
S8_RSI_Stoch,daily,Range,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
S8_RSI_Stoch,hourly,Range,2,1,0,0,0,0,66.7,33.3,0.0,0.0,0.0,0.0
